"Pozo","Estado","Acuífero","Elev.Brocal","Latitud","Longitud","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"V05","Baja California Sur","LAS VÍRGENES","9.00","27.409894","-112.309808","","","","","","","","","","","","","","","","","","7.4","","","","","","","","","","","",""
"V04","Baja California Sur","LAS VÍRGENES","7.00","27.406456","-112.307003","","","","","","","","","","","","","","","","","","5.15","","","","","","","","","","","",""
"V03","Baja California Sur","LAS VÍRGENES","12.00","27.408183","-112.307808","","","","","","","","","","","","","","","","","","7.32","","","","","","","","","","","",""
"V02","Baja California Sur","LAS VÍRGENES","7.00","27.409789","-112.307803","","","","","","","","","","","","","","","","","","5.81","","","","","","","","","","","",""
"TGM_1","Baja California Sur","LA PAZ","19.05","24.14417","-110.458","","21.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEATRO CIUDAD","Baja California Sur","LA PAZ","22.00","24.14683","-110.3183","","","","","","","","","","","","","","","16.91","","","","","","","","","","","","","","",""
"SMV38","Baja California Sur","SAN MARCOS-PALO VERDE","441.00","27.070319","-112.364472","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","",""
"SMV37","Baja California Sur","SAN MARCOS-PALO VERDE","571.00","26.987617","-112.375006","","","","","","","","","","","","","","","","","","13.72","","","","","","","","","","","",""
"SMV36","Baja California Sur","SAN MARCOS-PALO VERDE","569.00","26.989028","-112.374858","","","","","","","","","","","","","","","","","","11.6","","","","","","","","","","","",""
"SMV35","Baja California Sur","SAN MARCOS-PALO VERDE","570.00","26.989969","-112.374317","","","","","","","","","","","","","","","","","","11.9","","","","","","","","","","","",""
"SMV34","Baja California Sur","SAN MARCOS-PALO VERDE","537.00","27.010381","-112.380136","","","","","","","","","","","","","","","","","","12.94","","","","","","","","","","","",""
"SMV33","Baja California Sur","SAN MARCOS-PALO VERDE","483.00","27.042847","-112.384275","","","","","","","","","","","","","","","","","","10.1","","","","","","","","","","","",""
"SMV32","Baja California Sur","SAN MARCOS-PALO VERDE","480.00","27.050194","-112.380336","","","","","","","","","","","","","","","","","","22.82","","","","","","","","","","","",""
