-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,22.5,-109.375,22.56,21.78,21.84,21.99,22.82,23.03,24.59,27.26,27.52,26.88,24.31,22.15,23.91
T2M,2010,22.5,-110.0,22.5,21.39,21.17,21.15,21.43,21.71,23.49,26.73,27.13,25.86,23.75,21.85,23.19
T2M,2010,22.5,-110.625,22.27,20.81,20.33,20.34,20.57,20.73,22.33,26.17,26.49,24.48,22.71,21.0,22.36
T2M,2010,22.5,-111.25,22.02,20.59,20.18,19.86,20.21,20.29,21.61,25.61,25.87,23.76,21.86,20.2,21.85
T2M,2010,22.5,-111.875,21.71,20.38,20.19,19.39,19.65,19.94,21.22,24.5,25.09,23.2,21.08,19.73,21.35
T2M,2010,22.5,-112.5,21.4,20.2,19.88,19.38,19.39,19.89,21.27,23.75,24.2,22.53,20.63,19.3,20.99
T2M,2010,22.5,-113.125,20.87,19.89,19.52,19.37,19.24,19.77,21.3,23.46,23.12,21.62,20.44,18.84,20.63
T2M,2010,22.5,-113.75,20.32,19.4,19.34,19.3,19.15,19.55,21.22,23.21,22.78,20.86,19.89,18.45,20.3
T2M,2010,22.5,-114.375,20.05,18.88,19.17,19.05,19.17,19.39,21.13,22.96,22.69,20.75,19.47,18.26,20.09
T2M,2010,22.5,-115.0,19.94,18.66,18.94,18.81,19.22,19.53,20.93,22.76,22.47,20.77,19.45,18.27,19.99
T2M,2010,22.5,-115.625,19.6,18.56,18.72,18.8,19.05,19.73,20.85,22.63,22.32,20.72,19.46,18.41,19.91
