Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
SAPA No.4 R,Baja California Sur,LA PAZ,76.0,23.994167,-110.332778,2010,79.46,0.31,23.15
Sapa No.21,Baja California Sur,LA PAZ,82.0,24.021667,-110.3175,2010,104.71,0.31,23.15
SAPA La Paz (San Pedro),Baja California Sur,LA PAZ,190.0,23.929722,-110.263889,2010,53.75,0.31,24.23
S/N_3,Baja California Sur,LA PAZ,51.0,24.024167,-110.389444,2010,54.17,0.31,23.15
Patricio Suarez A.,Baja California Sur,LA PAZ,215.0,23.93494,-110.24303,2010,17.26,0.31,24.23
OBS-VIZ-55,Baja California Sur,VIZCAÍNO,76.82,27.646306,-113.423722,2010,41.0,0.15,21.41
OBS-VIZ-53,Baja California Sur,VIZCAÍNO,77.01,27.673,-113.470222,2010,41.4,0.14,20.25
OBS-VIZ-51,Baja California Sur,VIZCAÍNO,74.69,27.470306,-113.298167,2010,44.86,0.15,21.41
OBS-VIZ-49,Baja California Sur,VIZCAÍNO,62.57,27.541056,-113.377861,2010,32.28,0.15,21.41
OBS-VIZ-48,Baja California Sur,VIZCAÍNO,58.05,27.530067,-113.393139,2010,27.49,0.15,21.41
OBS-VIZ-47,Baja California Sur,VIZCAÍNO,115.62,27.798608,-113.3729,2010,51.96,0.17,21.31
OBS-VIZ-45,Baja California Sur,VIZCAÍNO,117.98,27.779247,-113.328153,2010,41.3,0.17,21.31
OBS-VIZ-43,Baja California Sur,VIZCAÍNO,146.67,27.831994,-113.266525,2010,37.98,0.17,21.31
OBS-VIZ-37,Baja California Sur,VIZCAÍNO,44.01,27.879925,-113.802867,2010,29.35,0.17,19.42
OBS-VIZ-36,Baja California Sur,VIZCAÍNO,51.0,27.822375,-113.701111,2010,37.22,0.17,19.42
OBS-VIZ-31,Baja California Sur,VIZCAÍNO,31.98,27.615636,-113.6673,2010,9.74,0.14,20.25
OBS-VIZ-30,Baja California Sur,VIZCAÍNO,145.68,27.840139,-113.299111,2010,39.7,0.17,21.31
OBS-VIZ-26,Baja California Sur,VIZCAÍNO,76.16,27.471083,-113.28975,2010,43.56,0.15,21.41
OBS-VIZ-25,Baja California Sur,VIZCAÍNO,63.15,27.510778,-113.382389,2010,29.09,0.15,21.41
OBS-VIZ-24,Baja California Sur,VIZCAÍNO,62.48,27.535861,-113.382639,2010,32.26,0.15,21.41
OBS-VIZ-23,Baja California Sur,VIZCAÍNO,58.67,27.530194,-113.374694,2010,32.33,0.15,21.41
OBS-VIZ-22,Baja California Sur,VIZCAÍNO,58.26,27.527611,-113.394111,2010,28.27,0.15,21.41
OBS-VIZ-01,Baja California Sur,VIZCAÍNO,53.87,27.571431,-113.522964,2010,21.67,0.14,20.25
La Laguna 1,Baja California Sur,SANTIAGO,114.6,23.4755,-109.714167,2010,4.31,0.36,23.65
La Cienega,Baja California Sur,SANTIAGO,77.74,23.536833,-109.679167,2010,8.3,0.27,24.9
Gilberto Chávez A.,Baja California Sur,LA PAZ,194.0,23.934222,-110.261194,2010,21.26,0.31,24.23
F_6,Baja California Sur,SANTO DOMINGO,28.95,25.253833,-111.925,2010,25.0,0.17,22.23
EL PALMAR,Baja California Sur,LA PAZ,194.0,23.932528,-110.259556,2010,22.51,0.31,24.23
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2010,6.47,0.36,23.65
BUEN SUR,Baja California Sur,LA PAZ,198.0,23.929278,-110.255333,2010,19.05,0.31,24.23
BOLA DE FUEGO,Baja California Sur,LA PAZ,29.0,24.056667,-110.392222,2010,31.96,0.31,23.15
80_30,Baja California Sur,SANTO DOMINGO,74.38,25.045333,-111.559667,2010,41.1,0.18,23.7
76_9B,Baja California Sur,SANTO DOMINGO,61.79,25.328833,-111.6305,2010,43.0,0.17,22.23
73_49_1,Baja California Sur,SANTO DOMINGO,14.16,24.7725,-111.67,2010,23.38,0.19,22.02
7,Baja California Sur,SANTO DOMINGO,20.87,25.408833,-111.888333,2010,28.1,0.17,22.23
59.1,Baja California Sur,SANTO DOMINGO,48.32,24.9145,-111.608333,2010,57.0,0.19,22.02
57_611_2,Baja California Sur,SANTO DOMINGO,33.86,24.920333,-111.683,2010,47.38,0.19,22.02
55_7,Baja California Sur,SANTO DOMINGO,31.26,24.949167,-111.730333,2010,43.12,0.19,22.02
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2010,6.9,0.31,23.69
46_24,Baja California Sur,SANTO DOMINGO,36.65,25.0225,-111.785333,2010,54.23,0.19,22.02
44_75_76,Baja California Sur,SANTO DOMINGO,57.63,25.005833,-111.618333,2010,71.15,0.19,22.02
42_34,Baja California Sur,SANTO DOMINGO,54.33,25.077,-111.7,2010,61.8,0.19,22.02
42975,Baja California Sur,SANTO DOMINGO,63.48,25.197167,-111.655833,2010,70.2,0.19,22.02
41_01,Baja California Sur,SANTO DOMINGO,36.78,25.072833,-111.775833,2010,52.0,0.19,22.02
419,Baja California Sur,LA PAZ,13.0,24.112417,-110.328147,2010,13.98,0.31,23.15
416,Baja California Sur,LA PAZ,45.0,24.1225,-110.299167,2010,41.4,0.31,24.23
409,Baja California Sur,LA PAZ,66.0,24.018611,-110.400278,2010,70.52,0.31,23.15
408,Baja California Sur,LA PAZ,11.0,24.077778,-110.398889,2010,13.74,0.31,23.15
407,Baja California Sur,LA PAZ,18.0,24.075,-110.398611,2010,17.34,0.31,23.15
406,Baja California Sur,LA PAZ,14.0,24.089444,-110.408889,2010,14.95,0.31,23.15
405,Baja California Sur,LA PAZ,38.0,24.063056,-110.411111,2010,41.0,0.31,23.15
403,Baja California Sur,LA PAZ,33.0,24.038333,-110.37,2010,38.13,0.31,23.15
4,Baja California Sur,SANTO DOMINGO,12.64,25.4545,-111.9175,2010,19.58,0.17,22.23
39_2,Baja California Sur,SANTO DOMINGO,67.61,25.0625,-111.583833,2010,32.94,0.19,22.02
391,Baja California Sur,LA PAZ,30.0,24.053056,-110.383611,2010,33.21,0.31,23.15
38_2,Baja California Sur,SANTO DOMINGO,53.27,25.075,-111.638333,2010,35.0,0.19,22.02
385,Baja California Sur,LA PAZ,17.0,24.085556,-110.408056,2010,17.26,0.31,23.15
384,Baja California Sur,LA PAZ,34.0,24.0825,-110.419167,2010,36.29,0.31,23.15
381-R,Baja California Sur,LA PAZ,39.0,24.069444,-110.413889,2010,40.45,0.31,23.15
380-R,Baja California Sur,LA PAZ,38.0,24.040833,-110.383889,2010,41.47,0.31,23.15
37_32,Baja California Sur,SANTO DOMINGO,69.22,25.1375,-111.579167,2010,38.6,0.19,22.02
379,Baja California Sur,LA PAZ,13.0,24.099167,-110.416944,2010,13.92,0.31,23.15
378-R,Baja California Sur,LA PAZ,25.0,24.053611,-110.372778,2010,29.42,0.31,23.15
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2010,8.57,0.27,24.9
36_25,Baja California Sur,SANTO DOMINGO,53.64,25.123333,-111.670833,2010,47.46,0.19,22.02
368,Baja California Sur,LA PAZ,11.0,24.102222,-110.418333,2010,12.25,0.31,23.15
35_21,Baja California Sur,SANTO DOMINGO,30.79,25.1055,-111.852,2010,39.9,0.19,22.02
34_14,Baja California Sur,SANTO DOMINGO,30.57,25.167,-111.861167,2010,51.3,0.19,22.02
33,Baja California Sur,SANTO DOMINGO,45.63,25.149667,-111.7455,2010,73.48,0.19,22.02
32_02,Baja California Sur,SANTO DOMINGO,16.31,25.128,-111.951167,2010,21.21,0.19,22.02
326,Baja California Sur,LA PAZ,20.0,24.082222,-110.407778,2010,21.09,0.31,23.15
253,Baja California Sur,LA PAZ,5.0,24.092222,-110.398611,2010,6.33,0.31,23.15
252,Baja California Sur,LA PAZ,10.0,24.089167,-110.380556,2010,10.54,0.31,23.15
25,Baja California Sur,SANTO DOMINGO,34.55,25.222,-111.8355,2010,58.1,0.19,22.02
248-R,Baja California Sur,LA PAZ,30.0,24.044722,-110.3575,2010,38.35,0.31,23.15
243,Baja California Sur,LA PAZ,13.0,24.087222,-110.370556,2010,13.82,0.31,23.15
242-R,Baja California Sur,LA PAZ,13.0,24.085278,-110.373889,2010,13.82,0.31,23.15
228-A,Baja California Sur,LA PAZ,7.0,24.090833,-110.400278,2010,7.49,0.31,23.15
217-R,Baja California Sur,LA PAZ,19.0,24.070278,-110.3975,2010,21.06,0.31,23.15
211,Baja California Sur,LA PAZ,22.0,24.068333,-110.370278,2010,22.84,0.31,23.15
20_16_17,Baja California Sur,SANTO DOMINGO,29.9,25.239667,-111.803667,2010,64.4,0.19,22.02
209,Baja California Sur,LA PAZ,38.0,24.027222,-110.368611,2010,44.64,0.31,23.15
208,Baja California Sur,LA PAZ,32.0,24.036389,-110.364167,2010,39.15,0.31,23.15
206,Baja California Sur,LA PAZ,33.0,24.034444,-110.356667,2010,40.49,0.31,23.15
205,Baja California Sur,LA PAZ,25.0,24.053611,-110.359167,2010,33.4,0.31,23.15
2,Baja California Sur,SAN JOSÉ DEL CABO,30.7,23.1145,-109.703167,2010,4.09,0.31,23.69
19_25,Baja California Sur,SANTO DOMINGO,48.99,25.201333,-111.712,2010,71.4,0.19,22.02
19_20,Baja California Sur,SANTO DOMINGO,40.98,25.1995,-111.761333,2010,67.55,0.19,22.02
197-A,Baja California Sur,LA PAZ,9.0,24.098611,-110.352778,2010,10.56,0.31,23.15
191-R,Baja California Sur,LA PAZ,10.0,24.096389,-110.3525,2010,11.61,0.31,23.15
182,Baja California Sur,LA PAZ,12.0,24.093611,-110.350556,2010,13.83,0.31,23.15
181-R,Baja California Sur,LA PAZ,17.0,24.073611,-110.348889,2010,21.35,0.31,23.15
172,Baja California Sur,LA PAZ,14.0,24.078611,-110.354444,2010,17.5,0.31,23.15
171-A,Baja California Sur,LA PAZ,13.0,24.088333,-110.350833,2010,15.9,0.31,23.15
167-R,Baja California Sur,LA PAZ,42.0,24.0489,-110.334369,2010,48.45,0.31,23.15
166,Baja California Sur,LA PAZ,50.0,24.0477,-110.32655,2010,60.36,0.31,23.15
164,Baja California Sur,LA PAZ,51.0,24.061136,-110.320028,2010,60.53,0.31,23.15
16,Baja California Sur,SANTO DOMINGO,24.8,25.304667,-111.828333,2010,51.2,0.17,22.23
153,Baja California Sur,LA PAZ,21.09,24.058889,-110.3475,2010,29.04,0.31,23.15
152,Baja California Sur,LA PAZ,25.0,24.057222,-110.343333,2010,31.42,0.31,23.15
151,Baja California Sur,LA PAZ,38.0,24.055,-110.333056,2010,44.2,0.31,23.15
15,Baja California Sur,SANTO DOMINGO,52.1,25.347,-111.6795,2010,46.4,0.17,22.23
146,Baja California Sur,LA PAZ,16.0,24.081944,-110.343889,2010,20.08,0.31,23.15
143,Baja California Sur,LA PAZ,36.27,24.030556,-110.356111,2010,43.2,0.31,23.15
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2010,28.32,0.31,23.15
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2010,28.5,0.31,23.15
13_18A,Baja California Sur,SANTO DOMINGO,49.3,25.338333,-111.728,2010,64.4,0.17,22.23
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2010,31.88,0.31,23.15
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2010,34.67,0.31,23.15
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2010,16.52,0.31,23.15
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2010,20.35,0.31,23.15
13-R,Baja California Sur,SAN JOSÉ DEL CABO,60.65,23.169,-109.682833,2010,10.9,0.24,24.75
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2010,29.35,0.31,23.15
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2010,40.55,0.31,23.15
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2010,15.87,0.31,23.15
12,Baja California Sur,SANTO DOMINGO,27.75,25.358667,-111.836167,2010,46.52,0.17,22.23
109 ROASA,Baja California Sur,SANTIAGO,30.81,23.581333,-109.6155,2010,9.42,0.27,24.9
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2010,23.65,0.31,23.69
S/N_4,Baja California Sur,LA PAZ,42.0,24.025833,-110.3825,2011,47.17,0.25,23.87
S/N_3,Baja California Sur,LA PAZ,51.0,24.024167,-110.389444,2011,54.58,0.25,23.87
S/N_2,Baja California Sur,LA PAZ,38.0,24.028611,-110.373333,2011,42.92,0.25,23.87
S/N_1,Baja California Sur,LA PAZ,8.0,24.091944,-110.402222,2011,8.7,0.25,23.87
OBS.-VIZ-11,Baja California Sur,VIZCAÍNO,54.62,27.911656,-113.793519,2011,38.52,0.07,19.69
OBS-VIZ-56,Baja California Sur,VIZCAÍNO,71.49,27.604167,-113.396917,2011,33.98,0.09,21.65
OBS-VIZ-55,Baja California Sur,VIZCAÍNO,76.82,27.646306,-113.423722,2011,41.0,0.09,21.65
